category,category_name,product_id,product_name,review_id,review,rating,label
1883,Nhà Cửa - Đời Sống,277833205,Cốc giữ nhiệt inox 304 Elmich EL8384 dung tích 500ml  - Hàng chính hãng,20141063,SP đẹp như hình,5,Cực kì hài lòng
1883,Nhà Cửa - Đời Sống,277776638,Chảo chống dính Elmich EL5972,20199611,Giao hàng rất nhanh. Đang cần gấp để nấu. Nhưng vừa mở ra thất vọng vô cùng. Bị móp. Shop vó kiểm tra trước khi giao ko vậy. Đổi trả mất công nên đành chịu. Đã hiểu vì sao giảm giá shock,2,Không hài lòng
1883,Nhà Cửa - Đời Sống,277776638,Chảo chống dính Elmich EL5972,20197992,"Chảo bị vênh lòng, cao ở giữa, trũng xung quanh nên rán không đều.",1,Rất không hài lòng
1883,Nhà Cửa - Đời Sống,277776638,Chảo chống dính Elmich EL5972,20131003,Hàng dùng tốt,5,Cực kì hài lòng
1883,Nhà Cửa - Đời Sống,277740594,Cốc giữ nhiệt inox 304 Elmich 2248380 dung tích 510ml ( 6 màu ),20200613,"Bình ok, giá cả hợp lý, màu tím bên ngoài thiên về màu tím tro, nhạt hơn trong hình",5,Cực kì hài lòng
1883,Nhà Cửa - Đời Sống,277740594,Cốc giữ nhiệt inox 304 Elmich 2248380 dung tích 510ml ( 6 màu ),20184862,"Giao hàng nhanh, cẩn thận, nhưng màu sắc hơi tối so với giới thiệu, nhìn khá cũ. Bình giữ nóng được tầm 4-5  tiếng thôi.",4,Hài lòng
1883,Nhà Cửa - Đời Sống,277725806,Nồi luộc gà inox 304 elmich EL-2536 - Hàng chính hãng,20184706,Nồi đẹp nhưng nấu nc 45p vẫn ko sôi. Chỉ sủi tăm. Shop xử lý dùm.,2,Không hài lòng
1883,Nhà Cửa - Đời Sống,277725806,Nồi luộc gà inox 304 elmich EL-2536 - Hàng chính hãng,20139011,"Nồi dày dặn, đẹp và khá to nha. Nên mua, dùng thích đấy.",5,Cực kì hài lòng
1883,Nhà Cửa - Đời Sống,277725806,Nồi luộc gà inox 304 elmich EL-2536 - Hàng chính hãng,20138405,Minh  rất thích khi nhìn thay so,5,Cực kì hài lòng
1883,Nhà Cửa - Đời Sống,276454947,"Lọ Hít mũi thảo dược, hít xoang Hongthai Thái Lan 40g",20120217,"Mùi dễ chịu, nhưng trong hũ còn nhiều vụn thảo dược không nằm trong bọc lưới, nên khi hít sẽ hít luôn vào mũi, khá khó chịu, nhưng không đáng kể",4,Hài lòng
1883,Nhà Cửa - Đời Sống,276121882,"Ống hút inox LocknLock loại ống hút thẳng, ống hút cong, cọ rửa ống hút - JoyMall",20118138,Không tặng kèm ống hút inox như mô tả.,3,Bình thường
1883,Nhà Cửa - Đời Sống,275575228,Nồi chống dính vân gỗ Elmich Nature EL-5206MG,20149901,"Combo nồi chảo đẹp xuất sắc. Màu nhìn phát ưng luôn. Vừa nấu nướng vừa decor bếp, không có chỗ nào chê.",5,Cực kì hài lòng
1883,Nhà Cửa - Đời Sống,275575228,Nồi chống dính vân gỗ Elmich Nature EL-5206MG,20078693,"Giao hàng nhanh đóng gói cẩn thận, sản phẩm mua với giá này là quá tốt",5,Cực kì hài lòng
1883,Nhà Cửa - Đời Sống,275575228,Nồi chống dính vân gỗ Elmich Nature EL-5206MG,20099244,"Cái này thì đẹp, mua giá giảm nhưng tốt lắm, màu xinh cực.",5,Cực kì hài lòng
1883,Nhà Cửa - Đời Sống,275575228,Nồi chống dính vân gỗ Elmich Nature EL-5206MG,20136779,Sản phẩm như mô tả,5,Cực kì hài lòng
1883,Nhà Cửa - Đời Sống,275570184,Bình đựng thức ăn giữ nhiệt inox 304 Elmich EL8337 dung tích 650ml,20173738,Ghịgfdscbjif Huế mộng buụhgđvbjo,5,Cực kì hài lòng
1883,Nhà Cửa - Đời Sống,275570184,Bình đựng thức ăn giữ nhiệt inox 304 Elmich EL8337 dung tích 650ml,20099765,"Bình giữ nhiệt lâu, sau 7tiếng cháo vẫn bỏng. Phải chờ 20phút mới nguội.",5,Cực kì hài lòng
1883,Nhà Cửa - Đời Sống,275570184,Bình đựng thức ăn giữ nhiệt inox 304 Elmich EL8337 dung tích 650ml,20197266,Đẹp phù hợp,5,Cực kì hài lòng
1883,Nhà Cửa - Đời Sống,275570184,Bình đựng thức ăn giữ nhiệt inox 304 Elmich EL8337 dung tích 650ml,20143818,Giữ nhiệt tốt .,5,Cực kì hài lòng
1883,Nhà Cửa - Đời Sống,275570184,Bình đựng thức ăn giữ nhiệt inox 304 Elmich EL8337 dung tích 650ml,20129482,Chất lượng tốt,5,Cực kì hài lòng
1883,Nhà Cửa - Đời Sống,275570184,Bình đựng thức ăn giữ nhiệt inox 304 Elmich EL8337 dung tích 650ml,20038698,Đã dùng 1 thời gian giữ nhiệt tốt,5,Cực kì hài lòng
1883,Nhà Cửa - Đời Sống,275570184,Bình đựng thức ăn giữ nhiệt inox 304 Elmich EL8337 dung tích 650ml,20112303,tốt,5,Cực kì hài lòng
1883,Nhà Cửa - Đời Sống,275570184,Bình đựng thức ăn giữ nhiệt inox 304 Elmich EL8337 dung tích 650ml,19991443,"Bình đẹp, có điều nước sơn hơi dễ tróc",4,Hài lòng
1883,Nhà Cửa - Đời Sống,275570184,Bình đựng thức ăn giữ nhiệt inox 304 Elmich EL8337 dung tích 650ml,20056643,"Bình rất đẹp,",5,Cực kì hài lòng
1883,Nhà Cửa - Đời Sống,275570184,Bình đựng thức ăn giữ nhiệt inox 304 Elmich EL8337 dung tích 650ml,19974453,"Cuc ki hai long, binh gồm va đẹp",4,Hài lòng
1883,Nhà Cửa - Đời Sống,275367488,Bình giữ nhiệt inox 304 Elmich EL8295 dung tích 500ml,20061328,"Tiki đóng gói hàng rất cẩn thận,bình giữ nhiệt hiệu Elmich này mình từng sd rồi,giữ nhiệt cực lâu và bền,lúc trước mua dung tích lớn,nay mua loại nhỏ để tiện bỏ giỏ đi du lịch.Xài loại này thì yên tâm rồi mn",5,Cực kì hài lòng
1883,Nhà Cửa - Đời Sống,275367488,Bình giữ nhiệt inox 304 Elmich EL8295 dung tích 500ml,20126383,"Giao hàng nhanh, đóng gói cẩn thận. Sản phẩm đẹp đúng chủng loại.",5,Cực kì hài lòng
1883,Nhà Cửa - Đời Sống,275367488,Bình giữ nhiệt inox 304 Elmich EL8295 dung tích 500ml,20123269,"Sản phẩm đúng như quảng cáo, thời gian giữ nhiệt lâu, kiểu dáng đẹp trang nhã. Tôi rất ưng",5,Cực kì hài lòng
