param_svc__C, param_tfidf__max_df, param_tfidf__min_df, param_tfidf__ngram_range, param_tfidf__sublinear_tf, mean_test_score   , std_test_score       , rank_test_score
        0.1 ,                0.95,                   5, "(1, 2)"                , True                     , 0.6240795931813427, 0.005421169077487512 ,               1
        0.1 ,                0.85,                   5, "(1, 2)"                , True                     , 0.6240795931813427, 0.005421169077487512 ,               1
        0.1 ,                0.85,                   5, "(1, 2)"                , False                    , 0.6218338172955099, 0.003773272967130673 ,               3
        0.1 ,                0.95,                   5, "(1, 2)"                , False                    , 0.6218338172955099, 0.003773272967130673 ,               3
        0.1 ,                0.85,                   2, "(1, 2)"                , True                     , 0.6209750633049143, 0.005733978755799386 ,               5
        0.1 ,                0.95,                   2, "(1, 2)"                , True                     , 0.6209750633049143, 0.005733978755799386 ,               5
        0.1 ,                0.95,                   2, "(1, 2)"                , False                    , 0.620703029954426 , 0.005479958139256974 ,               7
        0.1 ,                0.85,                   2, "(1, 2)"                , False                    , 0.620703029954426 , 0.005479958139256974 ,               7
        0.1 ,                0.85,                   1, "(1, 2)"                , False                    , 0.615512039445955 , 0.005586341659351387 ,               9
        0.1 ,                0.95,                   1, "(1, 2)"                , False                    , 0.615512039445955 , 0.005586341659351387 ,               9
        0.1 ,                0.95,                   1, "(1, 2)"                , True                     , 0.6142530253193538, 0.0050715951367346504,              11
        0.1 ,                0.85,                   1, "(1, 2)"                , True                     , 0.6142530253193538, 0.0050715951367346504,              11
        0.1 ,                0.85,                   2, "(1, 1)"                , False                    , 0.6107746388191844, 0.0038791289672726395,              13
        0.1 ,                0.95,                   2, "(1, 1)"                , False                    , 0.6107746388191844, 0.0038791289672726395,              13
        0.1 ,                0.95,                   1, "(1, 1)"                , False                    , 0.6105946773029887, 0.0034300488882984207,              15
        0.1 ,                0.85,                   1, "(1, 1)"                , False                    , 0.6105946773029887, 0.0034300488882984207,              15
        0.1 ,                0.85,                   1, "(1, 1)"                , True                     , 0.6101828414954724, 0.004696271295680565 ,              17
        0.1 ,                0.95,                   1, "(1, 1)"                , True                     , 0.6101828414954724, 0.004696271295680565 ,              17
        0.1 ,                0.95,                   2, "(1, 1)"                , True                     , 0.6090796052479353, 0.0042132907511939245,              19
        0.1 ,                0.85,                   2, "(1, 1)"                , True                     , 0.6090796052479353, 0.0042132907511939245,              19
        0.1 ,                0.85,                   5, "(1, 1)"                , True                     , 0.608756072225004 , 0.0008852124117592498,              21
        0.1 ,                0.95,                   5, "(1, 1)"                , True                     , 0.608756072225004 , 0.0008852124117592498,              21
        0.1 ,                0.95,                   5, "(1, 1)"                , False                    , 0.6079313385191987, 0.002052510218213068 ,              23
        0.1 ,                0.85,                   5, "(1, 1)"                , False                    , 0.6079313385191987, 0.002052510218213068 ,              23
        1.0 ,                0.95,                   1, "(1, 2)"                , False                    , 0.6064283152031505, 0.010650069129255408 ,              25
        1.0 ,                0.85,                   1, "(1, 2)"                , False                    , 0.6064283152031505, 0.010650069129255408 ,              25
        1.0 ,                0.85,                   1, "(1, 2)"                , True                     , 0.6061754945390556, 0.009948504948519739 ,              27
        1.0 ,                0.95,                   1, "(1, 2)"                , True                     , 0.6061754945390556, 0.009948504948519739 ,              27
        1.0 ,                0.85,                   2, "(1, 2)"                , False                    , 0.6051014297843279, 0.008692206023301346 ,              29
        1.0 ,                0.95,                   2, "(1, 2)"                , False                    , 0.6051014297843279, 0.008692206023301346 ,              29
        1.0 ,                0.95,                   2, "(1, 2)"                , True                     , 0.60503169855064  , 0.009127254723461615 ,              31
        1.0 ,                0.85,                   2, "(1, 2)"                , True                     , 0.60503169855064  , 0.009127254723461615 ,              31
        1.0 ,                0.85,                   5, "(1, 2)"                , False                    , 0.603536029724083 , 0.009755845861503352 ,              33
        1.0 ,                0.95,                   5, "(1, 2)"                , False                    , 0.603536029724083 , 0.009755845861503352 ,              33
